ExpenseID,Date,ExpenseCategory,Item,Amount,Notes
expense_2025_01_main,2025-01-28T12:00:00.000Z,Others,Monthly Operations,7000,Monthly farm expense from Jan 2025 Main tab
expense_2025_01_diesel_196,2025-01-28T12:00:00.000Z,Fuel,Others,19100,Diesel / Daalu expense from Jan 2025 Sales tab
expense_2025_02_main,2025-02-28T12:00:00.000Z,Others,Monthly Operations,7000,Monthly farm expense from Feb 2025 Main tab
expense_2025_02_diesel_196,2025-02-28T12:00:00.000Z,Fuel,Others,24500,Diesel / Daalu expense from Feb 2025 Sales tab
expense_2025_03_main,2025-03-28T12:00:00.000Z,Others,Monthly Operations,31000,Monthly farm expense from March 2025 Main tab
expense_2025_03_diesel_196,2025-03-28T12:00:00.000Z,Fuel,Others,42000,Diesel / Daalu expense from March 2025 Sales tab
expense_2025_04_main,2025-04-28T12:00:00.000Z,Others,Monthly Operations,7000,Monthly farm expense from April 2025 Main tab
expense_2025_04_diesel_197,2025-04-28T12:00:00.000Z,Fuel,Others,20900,Diesel / Daalu expense from April 2025 Sales tab
expense_2025_05_main,2025-05-28T12:00:00.000Z,Others,Monthly Operations,8560,Monthly farm expense from May 2025 Main tab
expense_2025_05_diesel_197,2025-05-28T12:00:00.000Z,Fuel,Others,15800,Diesel / Daalu expense from May 2025 Sales tab
expense_2025_06_main,2025-06-28T12:00:00.000Z,Others,Monthly Operations,7000,Monthly farm expense from Jun 2025 Main tab
expense_2025_06_diesel_197,2025-06-28T12:00:00.000Z,Fuel,Others,9000,Diesel / Daalu expense from Jun 2025 Sales tab
expense_2025_07_main,2025-07-28T12:00:00.000Z,Others,Monthly Operations,7000,Monthly farm expense from July 2025 Main tab
expense_2025_07_diesel_197,2025-07-28T12:00:00.000Z,Fuel,Others,25400,Diesel / Daalu expense from July 2025 Sales tab
expense_2025_08_main,2025-08-28T12:00:00.000Z,Others,Monthly Operations,7000,Monthly farm expense from Aug 2025 Main tab
expense_2025_08_diesel_197,2025-08-28T12:00:00.000Z,Fuel,Others,15700,Diesel / Daalu expense from Aug 2025 Sales tab
expense_2025_09_main,2025-09-28T12:00:00.000Z,Others,Monthly Operations,7800,Monthly farm expense from Sep 2025 Main tab
expense_2025_10_main,2025-10-28T12:00:00.000Z,Others,Monthly Operations,8300,Monthly farm expense from Oct 2025 Main tab
expense_2025_11_main,2025-11-28T12:00:00.000Z,Others,Monthly Operations,18800,Monthly farm expense from Nov 2025 Main tab
expense_2025_12_main,2025-12-28T12:00:00.000Z,Others,Monthly Operations,25700,Monthly farm expense from Dec 2025 Main tab
expense_2026_01_s199,2026-01-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_2026_02_s199,2026-02-28T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_2026_03_s199,2026-03-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_2026_04_s199,2026-04-30T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_2026_05_s198,2026-05-31T12:00:00.000Z,Fuel,Others,51100,Pickup Diesel + Depreciation (Recorded in Sales tab bottom summary)
expense_2026_05_s199,2026-05-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_2026_06_s199,2026-06-30T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_2026_07_s199,2026-07-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_2026_08_s198,2026-08-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_01,2026-01-31T12:00:00.000Z,Discount,Others,2286,Payment Discount from Opening/Closing Sheet (Jan 2026 C2)
expense_discount_2026_02,2026-02-28T12:00:00.000Z,Discount,Others,1229,Payment Discount from Opening/Closing Sheet (Feb 2026 C2)
expense_discount_2026_03,2026-03-31T12:00:00.000Z,Discount,Others,1680,Payment Discount from Opening/Closing Sheet (Mar 2026 C2)
expense_discount_2026_04,2026-04-30T12:00:00.000Z,Discount,Others,2201,Payment Discount from Opening/Closing Sheet (Apr 2026 C2)
expense_discount_2026_05,2026-05-31T12:00:00.000Z,Discount,Others,2400,Payment Discount from Opening/Closing Sheet (May 2026 C2)
expense_discount_2026_06,2026-06-30T12:00:00.000Z,Discount,Others,1651,Payment Discount from Opening/Closing Sheet (Jun 2026 C2)
expense_discount_2026_07,2026-07-31T12:00:00.000Z,Discount,Others,1462,Payment Discount from Opening/Closing Sheet (Jul 2026 C2)
expense_discount_2026_08,2026-08-31T12:00:00.000Z,Discount,Others,1269,Payment Discount from Opening/Closing Sheet (Aug 2026 C2)
