Month,PeriodKey,SpreadsheetId,RolledOutAt,OpeningStockKg,OpeningStockRate,OpeningStockAmount,PurchasesKg,PurchasesRate,PurchasesAmount,SalesKg,SalesRate,SalesAmount,ClosingStockKg,ClosingStockRate,ClosingStockAmount,GrossCommissionPrev,GrossCommissionCm,GrossCommissionTotal,DaaluPrev,DaaluCm,DaaluTotal,ExpensesPrev,ExpensesCm,ExpensesTotal,NetProfitCm,NetProfitTotal,LendingToCustomers,CashBalance,TotalCapital
2024-04,2024_04,14rvOhScbEekNLV6Nmn__bQVhbxP7X0oqhSalz-BTl1s,2024-04-28T23:59:59.000Z,2470,7.72,19068.4,0,0,0,65431,8.91,582874,2239,7.87,17619.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05,2024_05,1xMVOs5yMazAG-NA3b4y7lz3aGPDZqzi7i9T-pzNsHv0,2024-05-28T23:59:59.000Z,2239,7.87,17620.93,0,0,0,78239,9.69,758187,13500,8.6,116094.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06,2024_06,1RV5syYkJjQZ14QoR5vynxgfbikRwxlZvMNJeEbLltVU,2024-06-28T23:59:59.000Z,13500,8.6,116100,0,0,0,97010,10.06,975574,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07,2024_07,1wFMBKMD4KESh47rIOa88OkY4EOd3GSeED6ib04NrdtQ,2024-07-28T23:59:59.000Z,1,8.6,8.6,0,0,0,18655,10.78,201025,7846,9.69,76031.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08,2024_08,1IXvKjF5Nps0gAVEM-dt1iwJs64tEvxDPOoCgYOBQ4lw,2024-08-28T23:59:59.000Z,7846,9.69,76027.74,0,0,0,41445,11.1,459916,1,9.93,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09,2024_09,1gJFn8NDkY78NKy41Oec8f6vGAIkaCrJ9z8bIkGQr6pQ,2024-09-28T23:59:59.000Z,1,9.93,9.93,0,0,0,52065,11.37,591963,30851,10.07,310723.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10,2024_10,1t55BvCeXlSqgbI5dpvDqrJSIA8gVl5ENgo56TAZDSYI,2024-10-28T23:59:59.000Z,30851,10.07,310669.57,0,0,0,26073,11.07,288540,16378,9.64,157900.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11,2024_11,1rcm6QVqS9kW0113_zpyn7XZGfOwX6n-wVYFvZN4cru0,2024-11-28T23:59:59.000Z,16378,9.64,157883.92,0,0,0,4320,9.88,42690,12059,9.64,116242.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12,2024_12,1_beZmyLuX9GrED7KdEOm4AyNeKTAnyACN51ZqcgzYMs,2024-12-28T23:59:59.000Z,12059,9.64,116248.76,0,0,0,70851,10.16,719584,24203,8.95,216608.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01,2025_01,1C274TasGsyMWwLRblMpItjzE8uXn39I0KjuTQ1nTJ2U,2025-01-28T23:59:59.000Z,24203,8.95,216616.85,0,0,0,76318,10.63,811218,12020,9.33,112122.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02,2025_02,1VgPd99_fu-irua2__cq_6VvvxitXYAO4mYqESEXputI,2025-02-28T23:59:59.000Z,12020,9.33,112146.6,0,0,0,112765,10.28,1159122,4710,8.89,41867.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03,2025_03,1vGNllFNuHcNjj_Y4FJDHfX6Gx6W7nF_gsatsh-jW1Uw,2025-03-28T23:59:59.000Z,4710,8.89,41871.9,0,0,0,117817,8.74,1029647,16798,7.28,122361.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04,2025_04,1FJPVf2naMueUOyb_dBUb9pZBSqcIvRlKrsok1CSJXOM,2025-04-28T23:59:59.000Z,16798,7.28,122289.44,0,0,0,136927,7.93,1086167,80671,6.98,563345.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05,2025_05,1l9gwKeMGXEYuFbew6OqwxAjgX-KwRrgkjpEMSvFXni4,2025-05-28T23:59:59.000Z,80671,6.98,563083.58,0,0,0,66950,8.26,552916,81721,6.95,568081.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06,2025_06,1hPlvbUp1qp3N1C9rZEGUlceErHx9bDhb2vyJnWhqlgQ,2025-06-28T23:59:59.000Z,81721,6.95,567960.95,0,0,0,32356,8.73,282426,49366,6.95,343093.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,2025_07,1NHW_B0z6EtFj4fFG8DV63lTu8VEiHVffXJ3mygZSDLc,2025-07-28T23:59:59.000Z,49366,6.95,343093.7,0,0,0,75367,9.04,681160,11099,7.45,82664.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,2025_08,1UBgWjEayNdMeDxLT81p4ZnJFJy6hEEiN9YcbsRA0PqY,2025-08-28T23:59:59.000Z,11099,7.84,87016.16,0,0,0,49111,9.42,462617,6038,8.2,49521.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09,2025_09,1vgSJzMBlc50623ysVnmGAX7K3y6b4cMc1pvTVcMdoGM,2025-09-28T23:59:59.000Z,6038,8.2,49511.6,0,0,0,111470,9.87,1100187,22163,8.93,197877.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,2025_10,1eTPdGUyrx8TTc_7ASGOaZtIjYmhD5Tz-wYzZ14_ciKk,2025-10-28T23:59:59.000Z,22163,8.93,197915.59,0,0,0,30954,10.46,323793,2209,9.03,19957.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,2025_11,1P_GER_N8Xej3qfXT7AUC6PgSE-q0BOW8JcNvgaC3jkw,2025-11-28T23:59:59.000Z,2209,9.03,19947.27,0,0,0,47121,10.7,504167,15788,9.73,153678.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12,2025_12,1peCKx10p0OTsIQTdGu7I4JQrK3t4VSKZ9wqtWt884oQ,2025-12-28T23:59:59.000Z,15788,9.73,153617.24,0,0,0,61560,11.63,715833,13528,10.43,141033.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01,2026_01,1Pitzwi6T1G9q9APSKiXZ6DtnoSiDgJQ8xmdi1haqT_k,2026-09-01T00:00:00.000Z,13528,10.43,141097.04,95890,9.53,913410,105108,10.67,1121090,4310,9.64,41537.27,2209098,108120.23,2317218.23,269360,0,269360,7000,402350,101120.23,2184228.23,173266.96,3134624,-200360,2423266.96
2026-02,2026_02,1yvZSTJYxM1mZkD749dZQotOsYUl1dVHBphQdrQvnmaQ,2026-09-01T00:00:00.000Z,4310,9.64,41548.4,116225,8.12,943350,110589,9.29,1027299,9946,8.17,81269.34,2315989,123669.94,2439658.94,269360,0,269360,7000,409350,116669.94,2299668.94,271573.6,3112026,98318,2521573.6
2026-03,2026_03,1ZGH6k6vJlLdDHAmSAMM3TlIKO1Zvwu_QfPAes3akeBM,2026-09-01T00:00:00.000Z,9946,8.17,81258.82,115925,7.75,898200,115638,8.84,1022780,10233,7.78,79627.57,2437978,122948.75,2560926.75,269360,0,269360,7000,416350,115948.75,2413936.75,325321.18,3174188,53738,2575321.18
2026-04,2026_04,1jAfkLxU2OPZ4Kd4I9UpgODT8ZiokThe75KRgliK2m_4,2026-09-01T00:00:00.000Z,10233,7.78,79612.74,90660,7.77,704650,84649,8.63,730174,16244,7.77,126268.07,2558725,72179.33,2630904.33,269360,0,269360,7000,423350,65179.33,2476914.33,340975.26,3174871,1730,2590975.26
2026-05,2026_05,15Idcr9ni3IvwRi5zqebJK37tjkOlh33nMTWCqdWyuE8,2026-09-01T00:00:00.000Z,4194,7.78,32629.32,122890,8.87,1089650,121217,10.16,1231340,5867,8.83,51811.5,2628504,160872.18,2789376.18,269360,28900,298260,7000,430350,182772.18,2657286.18,549194.68,3221480,99988,2799194.68
2026-06,2026_06,1DKRIqV8FsvMLrWiTdJhKCKvGblCbF-kXj8SUEtrkQpI,2026-09-01T00:00:00.000Z,5867,8.83,51805.61,38240,9.29,355400,43375,10.63,461123,732,9.23,6757.99,2787725,60675.38,2848400.38,298260,0,298260,7000,437350,53675.38,2709310.38,768650.39,3099102,219450,3018650.39
2026-07,2026_07,15qc64Q1Uebuunoeca9X1N8nS8o2GDgKzv8KEsGp5R6I,2026-09-01T00:00:00.000Z,732,9.23,6756.36,84970,10.29,874000,85694,11.62,995684,8,10.28,82.22,2846938,115009.86,2961947.86,298260,0,298260,7000,444350,108009.86,2815857.86,469411.64,3511564,-299240,2719411.64
2026-08,2026_08,1FfEgoNS-rnosJWvD0-go6OvUWFa5NOyOnYj9DBXisxo,2026-09-01T00:00:00.000Z,8,10.28,82.24,79420,10.74,853000,74025,12.2,903408,5403,10.74,58029.96,2960678,108355.72,3069033.72,298260,0,298260,7000,451350,101355.72,2915943.72,369818.76,3653295,-99592,2619818.76
