PurchaseID,Date,Category,Item,WeightKg,PurchaseRate,Amount,VendorName,Notes
purchase_2026_01_2,2026-01-15T12:00:00.000Z,Purchase,Others,6635,11,73000,,Purchase recorded from Jan Grass 2026
purchase_2026_01_3,2026-01-15T12:00:00.000Z,Purchase,Others,2520,10,25200,,Purchase recorded from Jan Grass 2026
purchase_2026_01_4,2026-01-15T12:00:00.000Z,Purchase,Others,2850,10,28500,,Purchase recorded from Jan Grass 2026
purchase_2026_01_5,2026-01-15T12:00:00.000Z,Purchase,Others,5400,9.44,51000,,Purchase recorded from Jan Grass 2026
purchase_2026_01_6,2026-01-15T12:00:00.000Z,Purchase,Others,6000,10,60000,,Purchase recorded from Jan Grass 2026
purchase_2026_01_7,2026-01-15T12:00:00.000Z,Purchase,Others,2780,10,27800,,Purchase recorded from Jan Grass 2026
purchase_2026_01_8,2026-01-15T12:00:00.000Z,Purchase,Others,5000,10,50000,,Purchase recorded from Jan Grass 2026
purchase_2026_01_9,2026-01-15T12:00:00.000Z,Purchase,Others,4690,10,46900,,Purchase recorded from Jan Grass 2026
purchase_2026_01_10,2026-01-15T12:00:00.000Z,Purchase,Others,5800,10,58000,,Purchase recorded from Jan Grass 2026
purchase_2026_01_11,2026-01-15T12:00:00.000Z,Purchase,Others,3600,9.6,34560,,Purchase recorded from Jan Grass 2026
purchase_2026_01_12,2026-01-15T12:00:00.000Z,Purchase,Others,6800,10,68000,,Purchase recorded from Jan Grass 2026
purchase_2026_01_13,2026-01-15T12:00:00.000Z,Purchase,Others,9800,9,88200,,Purchase recorded from Jan Grass 2026
purchase_2026_01_14,2026-01-15T12:00:00.000Z,Purchase,Others,6715,9.49,63700,,Purchase recorded from Jan Grass 2026
purchase_2026_01_15,2026-01-15T12:00:00.000Z,Purchase,Others,2040,8.97,18300,,Purchase recorded from Jan Grass 2026
purchase_2026_01_16,2026-01-15T12:00:00.000Z,Purchase,Others,6500,9,58500,,Purchase recorded from Jan Grass 2026
purchase_2026_01_17,2026-01-15T12:00:00.000Z,Purchase,Others,2805,8.73,24500,,Purchase recorded from Jan Grass 2026
purchase_2026_01_18,2026-01-15T12:00:00.000Z,Purchase,Others,2420,8.74,21150,,Purchase recorded from Jan Grass 2026
purchase_2026_01_19,2026-01-15T12:00:00.000Z,Purchase,Others,3410,8.59,29300,,Purchase recorded from Jan Grass 2026
purchase_2026_01_20,2026-01-15T12:00:00.000Z,Purchase,Others,7000,8.5,59500,,Purchase recorded from Jan Grass 2026
purchase_2026_01_21,2026-01-15T12:00:00.000Z,Purchase,Others,3125,8.74,27300,,Purchase recorded from Jan Grass 2026
purchase_2026_02_2,2026-02-15T12:00:00.000Z,Purchase,Others,7700,8.49,65400,,Purchase recorded from Feb Grass 2026
purchase_2026_02_3,2026-02-15T12:00:00.000Z,Purchase,Others,5270,8.5,44800,,Purchase recorded from Feb Grass 2026
purchase_2026_02_4,2026-02-15T12:00:00.000Z,Purchase,Others,2330,8.73,20350,,Purchase recorded from Feb Grass 2026
purchase_2026_02_5,2026-02-15T12:00:00.000Z,Purchase,Others,7800,8.49,66200,,Purchase recorded from Feb Grass 2026
purchase_2026_02_6,2026-02-15T12:00:00.000Z,Purchase,Others,3520,8.49,29900,,Purchase recorded from Feb Grass 2026
purchase_2026_02_7,2026-02-15T12:00:00.000Z,Purchase,Others,3440,8.49,29200,,Purchase recorded from Feb Grass 2026
purchase_2026_02_8,2026-02-15T12:00:00.000Z,Purchase,Others,2760,8.44,23300,,Purchase recorded from Feb Grass 2026
purchase_2026_02_9,2026-02-15T12:00:00.000Z,Purchase,Others,3465,8.23,28500,,Purchase recorded from Feb Grass 2026
purchase_2026_02_10,2026-02-15T12:00:00.000Z,Purchase,Others,5295,8.48,44900,,Purchase recorded from Feb Grass 2026
purchase_2026_02_11,2026-02-15T12:00:00.000Z,Purchase,Others,5035,7.98,40200,,Purchase recorded from Feb Grass 2026
purchase_2026_02_12,2026-02-15T12:00:00.000Z,Purchase,Others,2925,8.24,24100,,Purchase recorded from Feb Grass 2026
purchase_2026_02_13,2026-02-15T12:00:00.000Z,Purchase,Others,2965,8.5,25200,,Purchase recorded from Feb Grass 2026
purchase_2026_02_14,2026-02-15T12:00:00.000Z,Purchase,Others,4035,8.3,33500,,Purchase recorded from Feb Grass 2026
purchase_2026_02_15,2026-02-15T12:00:00.000Z,Purchase,Others,5660,8,45300,,Purchase recorded from Feb Grass 2026
purchase_2026_02_16,2026-02-15T12:00:00.000Z,Purchase,Others,2900,8,23200,,Purchase recorded from Feb Grass 2026
purchase_2026_02_17,2026-02-15T12:00:00.000Z,Purchase,Others,2920,8.49,24800,,Purchase recorded from Feb Grass 2026
purchase_2026_02_18,2026-02-15T12:00:00.000Z,Purchase,Others,3190,8.24,26300,,Purchase recorded from Feb Grass 2026
purchase_2026_02_19,2026-02-15T12:00:00.000Z,Purchase,Others,6200,8,49600,,Purchase recorded from Feb Grass 2026
purchase_2026_02_20,2026-02-15T12:00:00.000Z,Purchase,Others,3555,8.07,28700,,Purchase recorded from Feb Grass 2026
purchase_2026_02_21,2026-02-15T12:00:00.000Z,Purchase,Others,4960,7.98,39600,,Purchase recorded from Feb Grass 2026
purchase_2026_02_22,2026-02-15T12:00:00.000Z,Purchase,Others,7500,8,60000,,Purchase recorded from Feb Grass 2026
purchase_2026_02_23,2026-02-15T12:00:00.000Z,Purchase,Others,11100,7.59,84300,,Purchase recorded from Feb Grass 2026
purchase_2026_02_24,2026-02-15T12:00:00.000Z,Purchase,Others,3200,8.28,26500,,Purchase recorded from Feb Grass 2026
purchase_2026_02_25,2026-02-15T12:00:00.000Z,Purchase,Others,8500,7,59500,,Purchase recorded from Feb Grass 2026
purchase_2026_03_2,2026-03-15T12:00:00.000Z,Purchase,Others,9300,7.49,69700,,Purchase recorded from March Grass 2026
purchase_2026_03_3,2026-03-15T12:00:00.000Z,Purchase,Others,6200,7.5,46500,,Purchase recorded from March Grass 2026
purchase_2026_03_4,2026-03-15T12:00:00.000Z,Purchase,Others,6300,7.49,47200,,Purchase recorded from March Grass 2026
purchase_2026_03_5,2026-03-15T12:00:00.000Z,Purchase,Others,9000,7.5,67500,,Purchase recorded from March Grass 2026
purchase_2026_03_6,2026-03-15T12:00:00.000Z,Purchase,Others,8100,7.8,63200,,Purchase recorded from March Grass 2026
purchase_2026_03_7,2026-03-15T12:00:00.000Z,Purchase,Others,2725,8.22,22400,,Purchase recorded from March Grass 2026
purchase_2026_03_8,2026-03-15T12:00:00.000Z,Purchase,Others,8400,7.7,64700,,Purchase recorded from March Grass 2026
purchase_2026_03_9,2026-03-15T12:00:00.000Z,Purchase,Others,9000,7.51,67600,,Purchase recorded from March Grass 2026
purchase_2026_03_10,2026-03-15T12:00:00.000Z,Purchase,Others,7200,7.86,56600,,Purchase recorded from March Grass 2026
purchase_2026_03_11,2026-03-15T12:00:00.000Z,Purchase,Others,8300,8.3,68900,,Purchase recorded from March Grass 2026
purchase_2026_03_12,2026-03-15T12:00:00.000Z,Purchase,Others,8300,7.4,61400,,Purchase recorded from March Grass 2026
purchase_2026_03_13,2026-03-15T12:00:00.000Z,Purchase,Others,9000,8.33,75000,,Purchase recorded from March Grass 2026
purchase_2026_03_14,2026-03-15T12:00:00.000Z,Purchase,Others,9800,7.76,76000,,Purchase recorded from March Grass 2026
purchase_2026_03_15,2026-03-15T12:00:00.000Z,Purchase,Others,7100,8,56800,,Purchase recorded from March Grass 2026
purchase_2026_03_16,2026-03-15T12:00:00.000Z,Purchase,Others,7200,7.6,54700,,Purchase recorded from March Grass 2026
purchase_2026_04_2,2026-04-15T12:00:00.000Z,Purchase,Others,7000,8,56000,,Purchase recorded from April Grass 2026
purchase_2026_04_3,2026-04-15T12:00:00.000Z,Purchase,Others,8900,7.49,66700,,Purchase recorded from April Grass 2026
purchase_2026_04_4,2026-04-15T12:00:00.000Z,Purchase,Others,7400,8,59200,,Purchase recorded from April Grass 2026
