PurchaseID,Date,Category,Item,WeightKg,PurchaseRate,Amount,VendorName,Notes
purchase_2022_11_2,2022-11-04T18:30:00.000Z,Purchase,Others,2400,8.5,20400,Magfali,Purchase of Magfali from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_3,2022-11-08T18:30:00.000Z,Purchase,Others,9900,8.75,86625,Magfali,Purchase of Magfali from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_4,2022-11-09T18:30:00.000Z,Purchase,Others,8900,8.4,74760,Magfali,Purchase of Magfali from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_5,2022-11-11T18:30:00.000Z,Purchase,Others,3600,8.5,30600,Gavatri,Purchase of Gavatri from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_6,2022-11-14T18:30:00.000Z,Purchase,Others,1070,7,7490,Soyabin,Purchase of Soyabin from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_7,2022-11-15T18:30:00.000Z,Purchase,Others,8670,8.7,75429,Gavatri,Purchase of Gavatri from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_8,2022-11-16T18:30:00.000Z,Purchase,Others,6540,8,52320,Magfali,Purchase of Magfali from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_9,2022-11-18T18:30:00.000Z,Purchase,Others,19000,8.8,167200,Gavatri,Purchase of Gavatri from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_10,2022-11-22T18:30:00.000Z,Purchase,Others,7300,8.75,63875,Gavatri,Purchase of Gavatri from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_11,2022-11-24T18:30:00.000Z,Purchase,Others,18500,8.7,161000,Gavatri,Purchase of Gavatri from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_12,2022-11-25T18:30:00.000Z,Purchase,Others,12900,8.78,113300,Gavatri,Purchase of Gavatri from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_11_13,2022-11-26T18:30:00.000Z,Purchase,Others,9900,8.81,87200,Gavatri,Purchase of Gavatri from Nov-2022 Purchase Sheet (100% Cash)
purchase_2022_12_1,2022-12-01T18:30:00.000Z,Purchase,Others,6000,8,48000,Soyabean,Purchase of Soyabean from Dec-2022 Purchase Sheet (100% Cash)
purchase_2022_12_2,2022-12-05T18:30:00.000Z,Purchase,Others,6190,7.38,45700,Soyabean,Purchase of Soyabean from Dec-2022 Purchase Sheet (100% Cash)
purchase_2022_12_3,2022-12-10T18:30:00.000Z,Purchase,Others,12365,8.05,99580,Gavatri,Purchase of Gavatri from Dec-2022 Purchase Sheet (100% Cash)
purchase_2022_12_4,2022-12-16T18:30:00.000Z,Purchase,Others,12950,7.95,103000,Gavatri,Purchase of Gavatri from Dec-2022 Purchase Sheet (100% Cash)
purchase_2022_12_5,2022-12-20T18:30:00.000Z,Purchase,Others,21600,8.25,178250,Gavatri,Purchase of Gavatri from Dec-2022 Purchase Sheet (100% Cash)
purchase_2022_12_6,2022-12-30T18:30:00.000Z,Purchase,Others,17300,8.12,140550,Gavatri,Purchase of Gavatri from Dec-2022 Purchase Sheet (100% Cash)
purchase_2023_01_1,2023-01-01T18:30:00.000Z,Purchase,Others,8000,9.02,72120,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_2,2023-01-03T18:30:00.000Z,Purchase,Others,1325,8.4,11130,Soyabean,Purchase of Soyabean from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_3,2023-01-10T18:30:00.000Z,Purchase,Others,9200,9.47,87100,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_4,2023-01-11T18:30:00.000Z,Purchase,Others,6500,9.51,61800,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_5,2023-01-13T18:30:00.000Z,Purchase,Others,7675,9.28,71200,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_6,2023-01-17T18:30:00.000Z,Purchase,Others,9100,9.47,86200,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_7,2023-01-17T18:30:00.000Z,Purchase,Others,9700,9.5,92120,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_8,2023-01-18T18:30:00.000Z,Purchase,Others,15500,8.49,131570,Gavatri,Purchase of Gavatri from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_9,2023-01-21T18:30:00.000Z,Purchase,Others,7600,9.21,70000,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_10,2023-01-22T18:30:00.000Z,Purchase,Others,19200,8.49,163000,Chana,Purchase of Chana from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_11,2023-01-23T18:30:00.000Z,Purchase,Others,3200,8.59,27500,Magfali,Purchase of Magfali from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_01_12,2023-01-30T18:30:00.000Z,Purchase,Others,14700,8.5,125000,Gavatri,Purchase of Gavatri from Jan-2023 Purchase Sheet (100% Cash)
purchase_2023_02_1,2023-02-01T18:30:00.000Z,Purchase,Others,4150,8.43,35000,Gavatri,Purchase of Gavatri from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_2,2023-02-02T18:30:00.000Z,Purchase,Others,21600,9.15,197700,Gavatri,Purchase of Gavatri from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_3,2023-02-03T18:30:00.000Z,Purchase,Others,7000,10,70000,Magfali,Purchase of Magfali from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_4,2023-02-03T18:30:00.000Z,Purchase,Others,13100,8.4,110000,Gavatri,Purchase of Gavatri from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_5,2023-02-04T18:30:00.000Z,Purchase,Others,7500,10,75000,Magfali,Purchase of Magfali from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_6,2023-02-04T18:30:00.000Z,Purchase,Others,9000,10.02,90200,Magfali,Purchase of Magfali from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_7,2023-02-07T18:30:00.000Z,Purchase,Others,1120,10.75,12040,Magfali,Purchase of Magfali from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_8,2023-02-10T18:30:00.000Z,Purchase,Others,6900,8.99,62000,Tuver,Purchase of Tuver from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_9,2023-02-10T18:30:00.000Z,Purchase,Others,12200,8.46,103200,Chana,Purchase of Chana from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_10,2023-02-13T18:30:00.000Z,Purchase,Others,9300,8.42,78300,Tuver,Purchase of Tuver from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_11,2023-02-16T18:30:00.000Z,Purchase,Others,6900,8.33,57450,Tuver,Purchase of Tuver from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_12,2023-02-17T18:30:00.000Z,Purchase,Others,8400,10.45,87800,Magfali,Purchase of Magfali from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_13,2023-02-17T18:30:00.000Z,Purchase,Others,10200,7.94,81000,Chana,Purchase of Chana from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_14,2023-02-18T18:30:00.000Z,Purchase,Others,8570,8.28,71000,Tuver,Purchase of Tuver from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_15,2023-02-20T18:30:00.000Z,Purchase,Others,6675,10.25,68400,Magfali,Purchase of Magfali from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_16,2023-02-21T18:30:00.000Z,Purchase,Others,2775,10.09,28000,Chana,Purchase of Chana from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_17,2023-02-22T18:30:00.000Z,Purchase,Others,5600,8.25,46200,Tuver,Purchase of Tuver from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_18,2023-02-23T18:30:00.000Z,Purchase,Others,9500,9,85500,Chana,Purchase of Chana from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_19,2023-02-25T18:30:00.000Z,Purchase,Others,12900,8.5,109600,Gavatri,Purchase of Gavatri from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_20,2023-02-26T18:30:00.000Z,Purchase,Others,8100,8.89,72000,Chana,Purchase of Chana from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_02_21,2023-02-27T18:30:00.000Z,Purchase,Others,4750,8,38000,Tuver,Purchase of Tuver from Feb-2023 Purchase Sheet (100% Cash)
purchase_2023_03_1,2023-02-28T18:30:00.000Z,Purchase,Others,3210,8.43,27050,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_2,2023-03-01T18:30:00.000Z,Purchase,Others,4500,8,36000,Tuver,Purchase of Tuver from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_3,2023-03-01T18:30:00.000Z,Purchase,Others,9700,8.76,85000,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_4,2023-03-02T18:30:00.000Z,Purchase,Others,6700,10.51,70400,Magfali,Purchase of Magfali from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_5,2023-03-02T18:30:00.000Z,Purchase,Others,5800,8.5,49300,Tuver,Purchase of Tuver from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_6,2023-03-02T18:30:00.000Z,Purchase,Others,8100,9.79,79300,Magfali,Purchase of Magfali from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_7,2023-03-04T18:30:00.000Z,Purchase,Others,5300,8,42400,Tuver,Purchase of Tuver from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_8,2023-03-04T18:30:00.000Z,Purchase,Others,2140,8.97,19200,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_9,2023-03-10T18:30:00.000Z,Purchase,Others,5150,7.96,41000,Tuver,Purchase of Tuver from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_10,2023-03-11T18:30:00.000Z,Purchase,Others,6600,7.74,51100,Tuver,Purchase of Tuver from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_11,2023-03-12T18:30:00.000Z,Purchase,Others,11100,8.83,98000,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_12,2023-03-13T18:30:00.000Z,Purchase,Others,9900,8.8,87100,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_13,2023-03-15T18:30:00.000Z,Purchase,Others,285,8.42,2400,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_14,2023-03-14T18:30:00.000Z,Purchase,Others,8400,8.8,73900,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_15,2023-03-15T18:30:00.000Z,Purchase,Others,9300,7.47,69500,Tuver,Purchase of Tuver from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_16,2023-03-16T18:30:00.000Z,Purchase,Others,8400,8.5,71400,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_17,2023-03-17T18:30:00.000Z,Purchase,Others,9800,8.5,83300,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_18,2023-03-25T18:30:00.000Z,Purchase,Others,8500,9,76500,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_19,2023-03-26T18:30:00.000Z,Purchase,Others,10000,8.85,88500,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_20,2023-03-26T18:30:00.000Z,Purchase,Others,8500,9,76500,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_21,2023-03-26T18:30:00.000Z,Purchase,Others,9700,8.79,85300,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_22,2023-03-26T18:30:00.000Z,Purchase,Others,8200,8.96,73500,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_23,2023-03-27T18:30:00.000Z,Purchase,Others,8800,8.99,79100,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_24,2023-03-27T18:30:00.000Z,Purchase,Others,9000,9,81000,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
purchase_2023_03_25,2023-03-29T18:30:00.000Z,Purchase,Others,9200,8.8,81000,Chana,Purchase of Chana from Mar-2023 Purchase Sheet (100% Cash)
