ExpenseID,Date,ExpenseCategory,Item,Amount,Notes
expense_2026_01_s199,2026-01-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_01,2026-01-31T12:00:00.000Z,Discount,Others,2286,Payment Discount from Opening/Closing Sheet (Jan 2026 C2)
expense_2026_02_s199,2026-02-28T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_02,2026-02-28T12:00:00.000Z,Discount,Others,1229,Payment Discount from Opening/Closing Sheet (Feb 2026 C2)
expense_2026_03_s199,2026-03-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_03,2026-03-31T12:00:00.000Z,Discount,Others,1680,Payment Discount from Opening/Closing Sheet (Mar 2026 C2)
expense_2026_04_s199,2026-04-30T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_04,2026-04-30T12:00:00.000Z,Discount,Others,2201,Payment Discount from Opening/Closing Sheet (Apr 2026 C2)
expense_2026_05_s198,2026-05-31T12:00:00.000Z,Fuel,Others,51100,Pickup Diesel + Depreciation (Recorded in Sales tab bottom summary)
expense_2026_05_s199,2026-05-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_05,2026-05-31T12:00:00.000Z,Discount,Others,2400,Payment Discount from Opening/Closing Sheet (May 2026 C2)
expense_2026_06_s198,2026-06-30T12:00:00.000Z,Fuel,Others,51100,Pickup Diesel + Depreciation (Recorded in Sales tab bottom summary)
expense_2026_06_s199,2026-06-30T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_06,2026-06-30T12:00:00.000Z,Discount,Others,1651,Payment Discount from Opening/Closing Sheet (Jun 2026 C2)
expense_2026_07_s199,2026-07-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_07,2026-07-31T12:00:00.000Z,Discount,Others,1462,Payment Discount from Opening/Closing Sheet (Jul 2026 C2)
expense_2026_08_s198,2026-08-31T12:00:00.000Z,Interest,Others,7000,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_08,2026-08-31T12:00:00.000Z,Discount,Others,1269,Payment Discount from Opening/Closing Sheet (Aug 2026 C2)
