PurchaseID,Date,Category,Item,WeightKg,PurchaseRate,Amount,CashPaid,RemainingDue,VendorName,Notes
purchase_2026_01_2,2025-12-31T12:00:00.000Z,Purchase,Others,6635,11,73000,73000,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_3,2026-01-07T12:00:00.000Z,Purchase,Others,2520,10,25200,25200,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_4,2026-01-12T12:00:00.000Z,Purchase,Others,2850,10,28500,28500,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_5,2026-01-13T12:00:00.000Z,Purchase,Others,5400,9.44,51000,51000,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_6,2026-01-14T12:00:00.000Z,Purchase,Others,6000,10,60000,60000,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_7,2026-01-15T12:00:00.000Z,Purchase,Others,2780,10,27800,27800,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_8,2026-01-16T12:00:00.000Z,Purchase,Others,5000,10,50000,50000,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_9,2026-01-16T12:00:00.000Z,Purchase,Others,4690,10,46900,46900,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_10,2026-01-17T12:00:00.000Z,Purchase,Others,5800,10,58000,58000,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_11,2026-01-18T12:00:00.000Z,Purchase,Others,3600,9.6,34560,34560,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_12,2026-01-19T12:00:00.000Z,Purchase,Others,6800,10,68000,68000,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_13,2026-01-23T12:00:00.000Z,Purchase,Others,9800,9,88200,88200,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_14,2026-01-23T12:00:00.000Z,Purchase,Others,6715,9.49,63700,63700,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_15,2026-01-24T12:00:00.000Z,Purchase,Others,2040,8.97,18300,18300,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_16,2026-01-26T12:00:00.000Z,Purchase,Others,6500,9,58500,58500,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_17,2026-01-28T12:00:00.000Z,Purchase,Others,2805,8.73,24500,24500,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_18,2026-01-29T12:00:00.000Z,Purchase,Others,2420,8.74,21150,21150,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_19,2026-01-29T12:00:00.000Z,Purchase,Others,3410,8.59,29300,29300,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_20,2026-01-29T12:00:00.000Z,Purchase,Others,7000,8.5,59500,59500,0,,Purchase recorded from Jan Grass 2026
purchase_2026_01_21,2026-01-30T12:00:00.000Z,Purchase,Others,3125,8.74,27300,27300,0,,Purchase recorded from Jan Grass 2026
purchase_2026_02_2,2026-01-31T12:00:00.000Z,Purchase,Others,7700,8.49,65400,65400,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_3,2026-02-01T12:00:00.000Z,Purchase,Others,5270,8.5,44800,44800,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_4,2026-02-02T12:00:00.000Z,Purchase,Others,2330,8.73,20350,20350,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_5,2026-02-02T12:00:00.000Z,Purchase,Others,7800,8.49,66200,66200,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_6,2026-02-04T12:00:00.000Z,Purchase,Others,3520,8.49,29900,29900,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_7,2026-02-05T12:00:00.000Z,Purchase,Others,3440,8.49,29200,29200,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_8,2026-02-06T12:00:00.000Z,Purchase,Others,2760,8.44,23300,23300,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_9,2026-02-06T12:00:00.000Z,Purchase,Others,3465,8.23,28500,28500,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_10,2026-02-06T12:00:00.000Z,Purchase,Others,5295,8.48,44900,44900,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_11,2026-02-08T12:00:00.000Z,Purchase,Others,5035,7.98,40200,40200,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_12,2026-02-09T12:00:00.000Z,Purchase,Others,2925,8.24,24100,24100,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_13,2026-02-10T12:00:00.000Z,Purchase,Others,2965,8.5,25200,25200,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_14,2026-02-10T12:00:00.000Z,Purchase,Others,4035,8.3,33500,33500,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_15,2026-02-10T12:00:00.000Z,Purchase,Others,5660,8,45300,45300,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_16,2026-02-11T12:00:00.000Z,Purchase,Others,2900,8,23200,23200,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_17,2026-02-12T12:00:00.000Z,Purchase,Others,2920,8.49,24800,24800,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_18,2026-02-15T12:00:00.000Z,Purchase,Others,3190,8.24,26300,26300,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_19,2026-02-16T12:00:00.000Z,Purchase,Others,6200,8,49600,49600,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_20,2026-02-17T12:00:00.000Z,Purchase,Others,3555,8.07,28700,28700,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_21,2026-02-18T12:00:00.000Z,Purchase,Others,4960,7.98,39600,39600,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_22,2026-02-20T12:00:00.000Z,Purchase,Others,7500,8,60000,60000,0,,Purchase recorded from Feb Grass 2026
